JENIS FASYANKES,NAMA,LONGITUDE,LATITUDE,PROVINSI,KABUPATEN,STATUS OPERASIONAL,KECAMATAN,DESA,GEOCODE_STATUS
Puskesmas,Geumpang,"9,612,571","484,441",Aceh,Pidie,Beroperasi,,,invalid_coords
Puskesmas,Montasik,"9,542,413","546,057",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Suka Mulia,"9,653,143","394,965",Aceh,Nagan Raya,Beroperasi,,,invalid_coords
Puskesmas,Kejuruan Muda,"9,806,385","423,694",Aceh,Aceh Tamiang,Beroperasi,,,invalid_coords
Puskesmas,Padang Panyang,"9,629,306","403,446",Aceh,Nagan Raya,Beroperasi,,,invalid_coords
Puskesmas,Kuta Blang,"9,683,043","52,108",Aceh,Bireuen,Beroperasi,,,no_data
Puskesmas,Cot Ie Jue,"9,675,521","520,433",Aceh,Bireuen,Beroperasi,,,invalid_coords
Puskesmas,Gumpang,"9,752,626","383,942",Aceh,Gayo Lues,Beroperasi,,,invalid_coords
Puskesmas,Tanah Jambo Aye,"9,705,969","500,539",Aceh,Aceh Utara,Beroperasi,,,invalid_coords
Puskesmas,Beutong Ateuh,"9,651,054","447,066",Aceh,Nagan Raya,Beroperasi,,,invalid_coords
Puskesmas,Darul Ihsan,"9,775,853","492,955",Aceh,Aceh Timur,Beroperasi,,,invalid_coords
Puskesmas,Deleng Pokhkisen,"9,781,813","351,201",Aceh,Aceh Tenggara,Beroperasi,,,invalid_coords
Puskesmas,Kuta Malaka,"9,548,121","534,644",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Banda Mulia,"979,915","435,494",Aceh,Aceh Tamiang,Beroperasi,,,invalid_coords
Puskesmas,Meurah Mulia,"9,720,586","506,061",Aceh,Aceh Utara,Beroperasi,,,invalid_coords
Puskesmas,Bukit Gadeng,"975,088","297,898",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Jagong,"9,677,367","436,116",Aceh,Aceh Tengah,Beroperasi,,,invalid_coords
Puskesmas,Lembah Seulawah,"9,571,471","547,241",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Jontor,"9,807,813","26,072",Aceh,Kota Subulussalam,Beroperasi,,ဂါတ်ရိုင်ယန်,ok
Puskesmas,Banda Baro,"9,698,636","521,292",Aceh,Aceh Utara,Beroperasi,,,invalid_coords
Puskesmas,Sawang,"9,689,842","514,306",Aceh,Aceh Utara,Beroperasi,,,invalid_coords
Puskesmas,Pirak Timu,"9,728,103","500,531",Aceh,Aceh Utara,Beroperasi,,,invalid_coords
Puskesmas,Lapang,"9,730,328","516,919",Aceh,Aceh Utara,Beroperasi,,,invalid_coords
Puskesmas,Kuta Cot Glie,"9,551,804","540,056",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Bandar Baru,"9,605,995","525,452",Aceh,Pidie Jaya,Beroperasi,,,invalid_coords
Puskesmas,Buntul Keumumu,"9,691,782","482,897",Aceh,Bener Meriah,Beroperasi,,,invalid_coords
Puskesmas,Kluet Timur,"97,374","3,085",Aceh,Aceh Selatan,Beroperasi,,Payadapur,ok
Puskesmas,Birem Bayeun,"9,794,074","453,267",Aceh,Aceh Timur,Beroperasi,,,invalid_coords
Puskesmas,Ujong Fatihah,"9,632,163","412,177",Aceh,Nagan Raya,Beroperasi,,,invalid_coords
Puskesmas,Baktiya Barat,"9,737,319","512,033",Aceh,Aceh Utara,Beroperasi,,,invalid_coords
Puskesmas,Sakti,"9,594,029","525,419",Aceh,Pidie,Beroperasi,,,invalid_coords
Puskesmas,Kembang Tanjong,"9,601,688","530,411",Aceh,Pidie,Beroperasi,,,invalid_coords
Puskesmas,Pintu Rime,"9,758,992","410,974",Aceh,Gayo Lues,Beroperasi,,,invalid_coords
Puskesmas,Penanggalan,"9,802,686","261,824",Aceh,Kota Subulussalam,Beroperasi,,,invalid_coords
Puskesmas,Idi Timur,"9,780,028","491,278",Aceh,Aceh Timur,Beroperasi,,,invalid_coords
Puskesmas,Muara Batu,"9,692,533","525,367",Aceh,Aceh Utara,Beroperasi,,,invalid_coords
Puskesmas,Seruway,"9,817,783","435,744",Aceh,Aceh Tamiang,Beroperasi,,,invalid_coords
Puskesmas,Peusangan Siblah Krueng,"9,677,902","50,024",Aceh,Bireuen,Beroperasi,,,no_data
Puskesmas,Idi Rayeuk,"9,778,202","494,441",Aceh,Aceh Timur,Beroperasi,,,invalid_coords
Puskesmas,Jeunieb,"9,650,631","518,941",Aceh,Bireuen,Beroperasi,,,invalid_coords
Puskesmas,Blangkejeren,"9,733,863","396,617",Aceh,Gayo Lues,Beroperasi,,,invalid_coords
Puskesmas,Lut Tawar,"9,684,898","462,483",Aceh,Aceh Tengah,Beroperasi,,,invalid_coords
Puskesmas,Kuala Simpang,"9,806,003","42,918",Aceh,Aceh Tamiang,Beroperasi,,,no_data
Puskesmas,Keude Geurobak,"9,769,653","490,754",Aceh,Aceh Timur,Beroperasi,,,invalid_coords
Puskesmas,Rikit Gaib,"9,725,538","410,974",Aceh,Gayo Lues,Beroperasi,,,invalid_coords
Puskesmas,Peudada,"9,659,189","51,998",Aceh,Bireuen,Beroperasi,,,no_data
Puskesmas,Kajeung,"96,099","4,516",Aceh,Aceh Barat,Beroperasi,,Tuwisaya,ok
Puskesmas,Tanah Luas,"9,727,472","506,744",Aceh,Aceh Utara,Beroperasi,,,invalid_coords
Puskesmas,Jangka Buya,"9,632,128","522,231",Aceh,Pidie Jaya,Beroperasi,,,invalid_coords
Puskesmas,Teupien Raya,"9,604,539","525,464",Aceh,Pidie,Beroperasi,,,invalid_coords
Puskesmas,Ujong Padang Rasian,"973,044","31,554",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Pulo Teungoh,"9,655,982","398,205",Aceh,Nagan Raya,Beroperasi,,,invalid_coords
Puskesmas,Pulo Aceh,"9,512,071","568,026",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Pidie,"9,593,631","538,361",Aceh,Pidie,Beroperasi,,,invalid_coords
Puskesmas,Pasi Mali,"96,015","4,346",Aceh,Aceh Barat,Beroperasi,,Cotlagan,ok
Puskesmas,Atu Lintang,"967,925","446,414",Aceh,Aceh Tengah,Beroperasi,,,invalid_coords
