label,nama,objectid,fid2,nama2,jenis,statusjln,nama_provinsi,nama_kabupaten,keterangan,dampak,status1,penanganan,target_selesai,bailey,latitude,longitude,baseline_sumber
Jembatan Kr. Beutong,9ea850a4-47ca-4b98-8dd6-d792e6f6468b,46,84,Jembatan Kr. Beutong,Jembatan,Nasional,Aceh,Nagan Raya,Banjir dan Tanah Longsor,Terputus,Dapat Diakses,Belum Ada,12/30/2025,Sedang Dipasang,4.456040789000042,96.52623766900001,BNPB/PU
Jembatan Kr. Meureudu,5bcc29ca-e0ea-480b-9f68-d516bf813cf8,47,81,Jembatan Kr. Meureudu,Jembatan,Nasional,Aceh,Pidie Jaya,Banjir dan Tanah Longsor,Terputus,Dapat Diakses,Belum Ada,,,5.231566706000024,96.25544407900003,BNPB/PU
Jembatan Teupin Mane,35a03530-04d9-401b-aee5-194f98d43a93,48,82,Jembatan Teupin Mane,Jembatan,Nasional,Aceh,Bireuen,Banjir dan Tanah Longsor,Terputus,Dapat Diakses,Bailey 30 m (mobilisasi dari Workshop Balai Beuradeun),,Terpasang,5.1131571000000235,96.70994570000005,BNPB/PU
Jembatan Kr. Tingkeum,c54cd5e7-3eff-470f-b7c1-ca0251c91768,49,83,Jembatan Kr. Tingkeum,Jembatan,Nasional,Aceh,Aceh Besar,Banjir dan Tanah Longsor,Terputus,Dapat Diakses,Bailey 30 m (mobilisasi dari Workshop Balai Beuradeun),12/30/2025,Sedang Dipasang,5.2107816760000105,96.828137932,BNPB/PU
Jembatan Jamur Ujung,a156a16b-7a49-4fcc-a5c3-532a3c3edc67,50,92,Jembatan Jamur Ujung,Jembatan,Nasional,Aceh,Bener Meriah,Banjir dan Tanah Longsor,Terputus,Dapat Diakses,Belum Ada,,Rencana Dipasang,4.714716805000023,96.81258256700005,BNPB/PU
Jembatan Lawe Penanggalan,7652a472-7215-42ed-b98d-10b0e24fd7d2,51,88,Jembatan Lawe Penanggalan,Jembatan,Nasional,Aceh,Aceh Tenggara,Banjir dan Tanah Longsor,Terputus (Terbawa Arus),Dapat Diakses,Pemasangan Bailey,12/31/2025,Terpasang,3.6289663980000455,97.71301436100003,BNPB/PU
Jembatan Lawe Mengkudu 1,dbb8c4e9-8ad5-4517-a438-e1d896878e0b,52,89,Jembatan Lawe Mengkudu 1,Jembatan,Nasional,Aceh,Aceh Tenggara,Banjir dan Tanah Longsor,Terputus,Dapat Diakses,Pemasangan Bailey,,Terpasang,3.615363169000034,97.72853375400001,BNPB/PU
Jembatan Timang Gajah,a61ae5b4-b22f-43e3-86cc-755467d5068a,53,91,Jembatan Timang Gajah,Jembatan,Nasional,Aceh,Bener Meriah,Banjir dan Tanah Longsor,Terputus,Dapat Diakses,Sudah fungsional dengan plat baja dan kayu,1/20/2026,,4.815474074999997,96.73919130900003,BNPB/PU
Jembatan Titi Merah,7ecaa768-89d0-4f2a-b2fa-ee1928dc7a36,54,87,Jembatan Titi Merah,Jembatan,Nasional,Aceh,Aceh Tengah,Banjir dan Tanah Longsor,Terputus,Dapat Diakses,Belum Ada,1/20/2026,Terpasang,4.62797199900001,96.71283000000005,BNPB/PU
Kr. Pelang,82415c06-69a8-4bee-bf34-7c75f47c40d5,55,85,Kr. Pelang,Jembatan,Nasional,Aceh,Aceh Tengah,Banjir dan Longsor,Jembatan putus dan terguling,Dapat Diakses,Belum ada penanganan,,Terpasang,4.624754342000017,96.690341977,BNPB/PU
Jembatan Weihni Enang-Enang,2c34888d-5877-4a18-ab91-cd8560abf820,56,93,Jembatan Weihni Enang-Enang,Jembatan,Nasional,Aceh,Bener Meriah,Banjir,Kerusakan bangunan bawah (abutment) jembatan mengakibatkan gangguan akses lalu lintas kendaraan,Dapat Diakses,Memasang rambu-rambu di sekitar lokasi dan sedang dilakukan upaya memasang jembatan darurat,12/30/1899,Terpasang,4.885301120000008,96.72751926200004,BNPB/PU
Bts. Pidie Jaya/Bireuen – Kota Bireuen,09cf95da-6aa4-4a2c-8378-ac4d3d59e6a4,57,45,Bts. Pidie Jaya/Bireuen – Kota Bireuen,Jalan,Nasional,Aceh,Bireuen,Banjir,Gangguan akses lalu lintas kendaraan,Dapat Diakses,Tuntas,12/30/1899,,5.1915182250000385,96.54033339900002,BNPB/PU
Jalan Sp. Peut - Batas Nagan Raya/Abdya,2048706d-8824-4deb-961b-917c7e4f2444,58,59,Jalan Sp. Peut - Batas Nagan Raya/Abdya,Jalan,Nasional,Aceh,Nagan Raya,Banjir,Kondisi saat ini air masih menggenangi jalan yang disebabkan luapan dari Sungai Kr. Lamie; Akibat dari dari banjir ini kendaraan dari arah Tapak Tuan -Meulaboh tidak bisa dilalui.,Dapat Diakses,Tuntas,12/30/1899,,4.084084079000036,96.41014214700004,BNPB/PU
Jembatan Weihni Lampahan,325e407a-f944-44a6-a9b3-fbf8ed6f7ffc,69,94,Jembatan Weihni Lampahan,Jembatan,Nasional,Aceh,Bener Meriah,Banjir,Kerusakan pada Box Culvert Weihni Lampahan Panjang 5 Meter dengan total Panjang terdampak 50 meter menyebabkan gangguan akses lalu lintas kendaraan,Dapat Diakses,"Ditimbun menggunakan box kontainer, plat, dan timbunan​",12/30/1899,,4.758854516000042,96.76756598900005,BNPB/PU
Alue Kulus,3075ad6b-e7ee-4864-8152-29de4cedaf44,70,95,Alue Kulus,Jembatan,Nasional,Aceh,Bener Meriah,Longsor,Jembatan Terputus,Dapat Diakses,"Ditimbun menggunakan box kontainer, plat, dan timbunan​",12/30/1899,,4.898255440000014,96.74004903900004,BNPB/PU
Meureudu - Bts. Pidie Jaya/Bireuen,a2ce1608-8765-474b-a6d1-572aa70eb5af,85,44,Meureudu - Bts. Pidie Jaya/Bireuen,Jalan,Nasional,Aceh,Pidie Jaya, , ,Dapat Diakses,Tuntas,12/30/1899,,5.228793242000052,96.27802598800002,BNPB/PU
Krueng Mane - Bts. Aceh Utara/Kota Lhokseumawe,5eb7291d-a7e4-4022-8a32-b5643536d9c1,86,48,Krueng Mane - Bts. Aceh Utara/Kota Lhokseumawe,Jalan,Nasional,Aceh,Aceh Utara, , ,Dapat Diakses,Tuntas,12/30/1899,,5.22379657700003,96.97054272300005,BNPB/PU
Kota Bireuen - Bts. Bireuen/Aceh Utara,06db0920-b786-458e-b84b-5415bbd8786e,87,68,Kota Bireuen - Bts. Bireuen/Aceh Utara,Jalan,Nasional,Aceh,Bireuen, , ,Dapat Diakses,Tuntas,12/30/1899,,5.209438006000028,96.73855814400002,BNPB/PU
Kr. Rongka,15a42e58-52c0-4943-98ea-effc7b4d2e69,88,96,Kr. Rongka,Jembatan,Nasional,Aceh,Bener Meriah, , ,Dapat Diakses,Tuntas,12/30/1899,,4.83795199900004,96.743339434,BNPB/PU
Simamora II,298f02e2-f073-4bcd-aedf-fd7fb3fbcbe9,89,86,Simamora II,Jembatan,Nasional,Aceh,Aceh Tengah, , ,Dapat Diakses,Tuntas,12/30/1899,Terpasang,4.652249478000044,96.59614252800003,BNPB/PU
Genting Gerbang - Sp. Uning,48f69f29-4fc0-4468-bee5-e3c64ba94000,90,80,Genting Gerbang - Sp. Uning,Jalan,Nasional,Aceh,Aceh Tengah, , ,Dapat Diakses,Tuntas,12/30/2025,,4.63223909300001,96.71256479700003,BNPB/PU
Uwaq (KM 379) - Bts. Aceh Tengah/Gayo Lues,a822d122-9947-44d9-adf2-941e333f40bd,91,76,Uwaq (KM 379) - Bts. Aceh Tengah/Gayo Lues,Jalan,Nasional,Aceh,Aceh Tengah, , ,Dapat Diakses,Tuntas,12/30/2025,,4.331384887000013,97.13969176600006,BNPB/PU
Lhoksukon - Bts. Aceh Utara/Aceh Timur (Panton Labu),be3d9543-132b-4c22-a553-83322532ae95,92,50,Lhoksukon - Bts. Aceh Utara/Aceh Timur (Panton Labu),Jalan,Nasional,Aceh,Aceh Utara, , ,Dapat Diakses,Tuntas,12/30/1899,,5.12164387200005,97.36888510200004,BNPB/PU
Bts. Aceh Utara/Aceh Timur (Panton Labu) - Idi Rayeuk,732d5d21-9b29-4c00-be21-73a4117ef2f3,93,51,Bts. Aceh Utara/Aceh Timur (Panton Labu) - Idi Rayeuk,Jalan,Nasional,Aceh,Aceh Timur, , ,Dapat Diakses,Tuntas,12/30/1899,,5.067123477000052,97.57213078400002,BNPB/PU
Jln. Cut Nyak Dien (Kuala Simpang),d04c7710-a58e-4eba-af45-5d78562fd702,94,55,Jln. Cut Nyak Dien (Kuala Simpang),Jalan,Nasional,Aceh,Aceh Tamiang, , ,Dapat Diakses,Tuntas,12/30/1899,,4.287759207000022,98.05777800500005,BNPB/PU
Bts. Kota Banda Aceh - Bts Aceh Jaya,d1ac5047-d250-4d74-afd4-a3aff1ba4c39,95,56,Bts. Kota Banda Aceh - Bts Aceh Jaya,Jalan,Nasional,Aceh,Aceh Besar, , ,Dapat Diakses,Tuntas,12/30/1899,,5.37614443700005,95.25773474500005,BNPB/PU
Idi Rayeuk - Peureulak,e9daee57-2b86-4bd0-937e-c7b30a724bb2,96,52,Idi Rayeuk - Peureulak,Jalan,Nasional,Aceh,Aceh Timur, , ,Dapat Diakses,Tuntas,12/30/1899,,4.899750607000044,97.81657355300001,BNPB/PU
Enang-Enang,2a981607-62bc-462f-80c3-49cbc52a53f1,114,332,Enang-Enang,Jembatan,Nasional,Aceh,Aceh Tengah, , ,Dapat Diakses, ,12/30/2025,,4.5639436950000345,96.672223411,BNPB/PU
Jalan KKA Km 29,a4e9ec96-4e81-4af4-bc35-c8c890e18b6e,115,113,Jalan KKA Km 29,Jalan,Daerah,Aceh,Kab. Bener Meriah,Tanah Longsor,9223372036854775807,Dapat Diakses,9223372036854775807,,,4.820010000000025,96.91425220000002,BNPB/PU
Jalan Perlak Lokop (Bunin),01708771-202c-4695-ac79-96157b8c3ade,116,114,Jalan Perlak Lokop (Bunin),Jalan,Daerah,Aceh,Aceh Timur,9223372036854775807,9223372036854775807,Dapat Diakses,9223372036854775807,,,4.4123333,97.38407290000004,BNPB/PU
"Ruas Jln. Sp. Siompin - Keras-Bts. Sumut, Subulussalam",3fccac4b-dbc6-4415-8f24-d2bf47c379dc,117,115,"Ruas Jln. Sp. Siompin - Keras-Bts. Sumut, Subulussalam",Jalan,Daerah,Aceh,Aceh Singkil,9223372036854775807,9223372036854775807,Dapat Diakses,9223372036854775807,,,2.4923807000000124,98.0765288,BNPB/PU
Jalan Blangkejeren - Tonggra -  Batas Abdya STA 71+900,398896a8-d57d-40ed-99c3-071f55ad924a,118,116,Jalan Blangkejeren - Tonggra -  Batas Abdya STA 71+900,Jalan,Daerah,Aceh,Gayo Lues,9223372036854775807,9223372036854775807,Dapat Diakses,9223372036854775807,,,3.7324636250000367,97.61814546600004,BNPB/PU
Jalan KKA Burni Pase,f95e64dd-556e-49fa-969a-4ba62abdcb8e,119,117,Jalan KKA Burni Pase,Jalan,Daerah,Aceh,Kota Lhokseumawe,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,5.181640100000038,97.14159090000004,BNPB/PU
Ruas Jalan Gunung Kapur – Trumon,e2bb3b23-fd38-43ac-9491-b94cdc18a197,120,118,Ruas Jalan Gunung Kapur – Trumon,Jalan,Daerah,Aceh,Kab. Aceh Selatan,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.946388900000045,97.66111110000003,BNPB/PU
Jalan Blangkejeren – Tongra – Batas Abdya STA 31+300,f0d43c47-e896-4172-aa0a-109614aee8a8,121,119,Jalan Blangkejeren – Tongra – Batas Abdya STA 31+300,Jalan,Daerah,Aceh,Kab. Gayo Lues,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.0339434690000076,96.91534480000001,BNPB/PU
