label,nama,objectid,fid2,nama2,jenis,statusjln,nama_provinsi,nama_kabupaten,keterangan,dampak,status1,penanganan,target_selesai,bailey,latitude,longitude,baseline_sumber
Jembatan Pasir Putih,eef33db6-1e41-4e1d-a3d4-a96476323eda,142,140,Jembatan Pasir Putih,Jembatan,Daerah,Aceh,Kab. Gayo Lues,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.15063830400004,97.583357852,BNPB/PU
Jembatan Pintu Rime,ad5d45ea-dcb3-4b2d-aaf0-a128a93b8420,143,141,Jembatan Pintu Rime,Jembatan,Daerah,Aceh,Kab. Gayo Lues,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,3.810425500000008,97.71994540000003,BNPB/PU
Jembatan Pepelah,e49e2efd-6405-44fa-b41b-95890a176e83,144,142,Jembatan Pepelah,Jembatan,Daerah,Aceh,Kab. Gayo Lues,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.065872163000051,97.51437538800002,BNPB/PU
Jembatan Air Putih,86f5d88e-44af-43e6-bcb0-ad26838a831b,145,143,Jembatan Air Putih,Jembatan,Daerah,Aceh,Kab. Gayo Lues,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.182305000000042,97.57603400000005,BNPB/PU
Jembatan Pining II,7669d0f3-4949-4d92-ac5a-445a63d6a774,146,144,Jembatan Pining II,Jembatan,Daerah,Aceh,Kab. Gayo Lues,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,3.9928933000000484,97.65481100000005,BNPB/PU
Jembatan Badak II,5e50eb84-3c00-4c4a-85d2-54ae159142b5,147,145,Jembatan Badak II,Jembatan,Daerah,Aceh,Kab. Gayo Lues,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.020851900000025,97.36786240000004,BNPB/PU
Box Muara Situlen,4e534c38-6f57-4bcd-b3bb-43125dfcf472,148,146,Box Muara Situlen,Jembatan,Daerah,Aceh,Kab. Aceh Tenggara,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,3.2641453130000286,97.92067291500001,BNPB/PU
Jembatan Pante Dona,03441d6d-f253-4a4f-bf04-b9acdb90f1ca,149,147,Jembatan Pante Dona,Jembatan,Daerah,Aceh,Kab. Aceh Tenggara,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,3.378397800000016,97.85670520000002,BNPB/PU
Jembatan Sarah Perlak,960253fa-4ec1-4154-abf3-fadef520cc9b,150,148,Jembatan Sarah Perlak,Jembatan,Daerah,Aceh,Kab. Aceh Barat,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.520171806999997,96.11920304000006,BNPB/PU
Jembatan Suak Teuben (Bailey),c5e2e964-a017-4434-8799-cf5e3cfe6b3b,151,149,Jembatan Suak Teuben (Bailey),Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.126425260000019,96.49415748800004,BNPB/PU
Jembatan Teupin Tinggi (Bailey Suak Sigide),0853b239-8108-4ea0-a6f8-106b458bd145,152,150,Jembatan Teupin Tinggi (Bailey Suak Sigide),Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.124005441999998,96.49000311000003,BNPB/PU
Jembatan Alue Bunot Bungkok (Bailey),e61fec05-12db-4bec-bc5c-e2b3b8f7c1cf,153,151,Jembatan Alue Bunot Bungkok (Bailey),Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.126393138000026,96.49225161300001,BNPB/PU
Jembatan Kayu Keutapang I,a0325bae-e993-4e10-a3c0-ae074dd9dc0b,154,152,Jembatan Kayu Keutapang I,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.12745314700004,96.49341869400001,BNPB/PU
Jembatan Gosong Telaga 3 (Dispora),d8d4f705-409f-474c-82d1-a5d21d376315,155,153,Jembatan Gosong Telaga 3 (Dispora),Jembatan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.3295533000000432,97.88304500000004,BNPB/PU
Jembatan Anak Laut,656e1a5a-2e5a-4251-90f2-98cec99a4793,156,154,Jembatan Anak Laut,Jembatan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.2728047000000515,97.87058540000004,BNPB/PU
Jembatan Pancang III,259ad4eb-bfcb-46e7-9296-f957c2e9a8e3,157,155,Jembatan Pancang III,Jembatan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.3589459000000375,97.87216000000001,BNPB/PU
Jembatan Keutapang Indah II,9bf23b93-3a14-48ac-a8e5-59f7d4cf46c5,158,156,Jembatan Keutapang Indah II,Jembatan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.3589459000000375,97.87216000000001,BNPB/PU
Jembatan Kuala Cangkoi,95306fad-83d8-46a3-bd82-47db241c042b,159,157,Jembatan Kuala Cangkoi,Jembatan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,5.171585400000026,97.30036040000005,BNPB/PU
Jembatan Suak Ie Mameh,e29253d5-e318-4f6e-98d3-acf6d2705419,160,158,Jembatan Suak Ie Mameh,Jembatan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,3.7602538000000436,96.78420150000005,BNPB/PU
Jembatan Kuala Siron,e4773630-17c8-4234-ad0f-2e6cb9b9f25b,161,159,Jembatan Kuala Siron,Jembatan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.3589459000000375,97.87216000000001,BNPB/PU
Jembatan Gosong Telaga Singkil I,fded17d9-2b18-419e-a873-7c87b5129a28,162,160,Jembatan Gosong Telaga Singkil I,Jembatan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.3295533000000432,97.88304500000004,BNPB/PU
Jembatan Kiniko (Gosong Telaga Barat),7b76c1cc-f89a-4e8a-86cc-fb76b6aa8a88,163,161,Jembatan Kiniko (Gosong Telaga Barat),Jembatan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.27466290000001,97.87849590000002,BNPB/PU
Jembatan Pada Jalan Lipat Kajang Singkil I,350a7d18-cfea-49ad-949e-095e021b1eff,164,162,Jembatan Pada Jalan Lipat Kajang Singkil I,Jembatan,Daerah,Aceh,Kab. Aceh Singkil,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.4426931000000423,97.98789770000002,BNPB/PU
Jembatan Kayu Keutapang II,525b2bf4-b168-4543-b8f3-6c09b64027e5,165,163,Jembatan Kayu Keutapang II,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.126039802000037,96.48897522200002,BNPB/PU
Jembatan Wak Rage,d592a731-8a32-4b8e-856e-fb088a57fdd5,166,164,Jembatan Wak Rage,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.127538804000039,96.49123443300005,BNPB/PU
Jembatan Kuala Suak Muling,5112907c-8309-49d5-a6e8-6113b7e9bc0a,167,165,Jembatan Kuala Suak Muling,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.119149500000049,96.29322670000005,BNPB/PU
Jembatan Bally Manok Bungkok,00787eed-03a3-4ea1-8cb8-6fe3ed39cc2a,168,166,Jembatan Bally Manok Bungkok,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.1278493120000235,96.48887885800002,BNPB/PU
Jembatan Suak Aron,356035a0-5b64-4a16-a901-2ec776701270,169,167,Jembatan Suak Aron,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.124915550000026,96.49538881100005,BNPB/PU
Jembatan Bally Suak Ameh,e16b420c-b057-4f68-a600-1e9aa9b8b75a,170,168,Jembatan Bally Suak Ameh,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.124251706000052,96.49397546600005,BNPB/PU
Jembatan Bally Suak Ameh Rayeuk,fdf69a3d-eaf3-4fc5-af30-877931710c1c,171,169,Jembatan Bally Suak Ameh Rayeuk,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.123994734000007,96.49191969100002,BNPB/PU
Jembatan Rubek Bayeuk I,b32212c5-b76b-43f2-9dea-9ba1d14ddc7f,172,170,Jembatan Rubek Bayeuk I,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.122827654000048,96.49331162200002,BNPB/PU
Jembatan Rubek Bayeuk II,467cd2cb-895d-4cb2-abd7-32703004a041,173,171,Jembatan Rubek Bayeuk II,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.123073919000035,96.49225161300001,BNPB/PU
Jembatan Ie Rot I,36f8494e-3f43-4102-970e-b413cd5e716f,174,172,Jembatan Ie Rot I,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.124990500000024,96.49398617300005,BNPB/PU
Jembatan Ie Rot II,11ba139e-274c-4b06-bd65-299cebd42eb0,175,173,Jembatan Ie Rot II,Jembatan,Daerah,Aceh,Kab. Nagan Raya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.123106040000039,96.49432880200004,BNPB/PU
Jembatan Ruas Teupin Reudeup,2b17d92f-1095-4d97-9f17-f08ef5cd3304,332,330,Jembatan Ruas Teupin Reudeup,Jembatan,Daerah,Aceh,Bireun, , ,Akses Terputus, ,12/30/1899,,5.142849069000022,96.78894135700006,BNPB/PU
